pcode,region,zone,woreda_name,report
ET030595,Amhara,North Shewa (AM),Shoa Robit,1
ET030523,Amhara,North Shewa (AM),Siya Debirna Wayu,1
ET030510,Amhara,North Shewa (AM),Tarema Ber,1
ET030524,Amhara,North Shewa (AM),Tulefa town,1
ET030313,Amhara,North Wello,Angot,1
ET030301,Amhara,North Wello,Bugna,1
ET030311,Amhara,North Wello,Dawunt,1
ET030314,Amhara,North Wello,Filakit town,1
ET030315,Amhara,North Wello,Gashena town,1
ET030312,Amhara,North Wello,Gazo,1
ET030303,Amhara,North Wello,Gidan,1
ET030307,Amhara,North Wello,Guba Lafto,1
ET030308,Amhara,North Wello,Habru,1
ET030306,Amhara,North Wello,Hara town,1
ET030399,Amhara,North Wello,Kobo town,1
ET030398,Amhara,North Wello,Lalibela town,1
ET030310,Amhara,North Wello,Lasta,1
ET030304,Amhara,North Wello,Meket,1
ET030397,Amhara,North Wello,Mersa town,1
ET030302,Amhara,North Wello,Raya Kobo,1
ET030305,Amhara,North Wello,Wadla,1
ET030309,Amhara,North Wello,Woldiya town,1
ET031004,Amhara,Oromo Nationality Administration,Artuma Fursi,1
ET031002,Amhara,Oromo Nationality Administration,Bati,1
ET031099,Amhara,Oromo Nationality Administration,Bati town,1
ET031007,Amhara,Oromo Nationality Administration,Chef Robit town,1
ET031001,Amhara,Oromo Nationality Administration,Dewa Cheffa,1
ET031005,Amhara,Oromo Nationality Administration,Dewa Harewa,1
ET031003,Amhara,Oromo Nationality Administration,Jilye Tumuga,1
ET031006,Amhara,Oromo Nationality Administration,Kemisie town,1
ET031008,Amhara,Oromo Nationality Administration,Senbete town,1
ET030299,Amhara,South Gondar,Adiss Zemen town,1
ET030211,Amhara,South Gondar,Andabet /West Esite,1
ET030210,Amhara,South Gondar,Debre Tabor town,1
ET030209,Amhara,South Gondar,Dera (AM),1
ET030208,Amhara,South Gondar,East Esite,1
ET030201,Amhara,South Gondar,Ebenat,1
ET030217,Amhara,South Gondar,Ebenat town,1
ET030204,Amhara,South Gondar,Farta,1
ET030203,Amhara,South Gondar,Fogera,1
ET030212,Amhara,South Gondar,Guna Begemider,1
ET030218,Amhara,South Gondar,Hamusit town,1
ET030205,Amhara,South Gondar,Lay Gayint,1
ET030202,Amhara,South Gondar,Libokemekem,1
ET030298,Amhara,South Gondar,Mekan Eyesuse,1
ET030213,Amhara,South Gondar,Mena Meketewa,1
ET030215,Amhara,South Gondar,Nefas Mewicha town,1
ET030214,Amhara,South Gondar,Sede Muja,1
ET030207,Amhara,South Gondar,Semada,1
ET030206,Amhara,South Gondar,Tach Gayint,1
ET030216,Amhara,South Gondar,Wegeda town,1
ET030293,Amhara,South Gondar,Woreta town,1
ET030427,Amhara,South Wello,Akeseta town,1
ET030408,Amhara,South Wello,Albuko,1
ET030404,Amhara,South Wello,Ambasel,1
ET030401,Amhara,South Wello,Argoba,1
ET030412,Amhara,South Wello,Borena /Debresina,1
ET030425,Amhara,South Wello,Degolo town,1
ET030406,Amhara,South Wello,Delanta,1
ET030409,Amhara,South Wello,Dessie Zuria,1
ET030418,Amhara,South Wello,Dessie town,1
ET030428,Amhara,South Wello,Gimeba town,1
ET030429,Amhara,South Wello,Harbu town,1
ET030499,Amhara,South Wello,Hike town,1
ET030414,Amhara,South Wello,Jama,1
ET030407,Amhara,South Wello,Kalu,1
ET030426,Amhara,South Wello,Kelala town,1
ET030413,Amhara,South Wello,Kelela,1
ET030417,Amhara,South Wello,Kombolcha town,1
ET030403,Amhara,South Wello,Kutaber,1
ET030410,Amhara,South Wello,Legambo,1
ET030420,Amhara,South Wello,Legehida,1
ET030419,Amhara,South Wello,Mehal Sayint,1
ET030498,Amhara,South Wello,Mekane Selam town,1
ET030421,Amhara,South Wello,Mekdela,1
ET030411,Amhara,South Wello,Sayint,1
